No.66,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,9.1,503408
No.67,情书 Love Letter,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,8.9,839549
No.68,看不见的客人 Contratiempo,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,8.8,1013901
No.69,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,9.1,433109
No.70,飞越疯人院 One Flew Over the Cuckoo's Nest,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,9.1,476797
No.71,西西里的美丽传说 Malèna,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,8.9,811429
No.72,拯救大兵瑞恩 Saving Private Ryan,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,9.0,536983
No.73,小鞋子 بچههای آسمان,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,9.2,337783
No.74,音乐之声 The Sound of Music,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,9.1,497678
No.75,阿凡达 Avatar,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg,8.8,1171882
No.76,海豚湾 The Cove,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,9.3,314474
No.77,致命魔术 The Prestige,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,8.9,715172
No.78,美国往事 Once Upon a Time in America,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,9.2,343789
No.79,沉默的羔羊 The Silence of the Lambs,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,8.9,714599
No.80,禁闭岛 Shutter Island,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,8.8,790069
No.81,蝴蝶效应 The Butterfly Effect,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,8.8,774709
No.82,低俗小说 Pulp Fiction,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,8.9,690159
No.83,心灵捕手 Good Will Hunting,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,8.9,584882
No.84,布达佩斯大饭店 The Grand Budapest Hotel,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,8.9,740483
No.85,春光乍泄 春光乍洩,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,9.0,520792
No.86,七宗罪 Se7en,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,8.8,802270
No.87,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,8.9,648596
No.88,摩登时代 Modern Times,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,9.3,241054
No.89,喜剧之王 喜劇之王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg,8.8,797809
No.90,被嫌弃的松子的一生 嫌われ松子の一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,8.9,607588
No.91,致命ID Identity,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,8.8,666616
No.92,杀人回忆 살인의 추억,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg,8.9,565348
No.93,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,8.8,723029
No.94,剪刀手爱德华 Edward Scissorhands,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,8.7,906389
No.95,勇敢的心 Braveheart,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,8.9,494781
No.96,狩猎 Jagten,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,9.1,311453
No.97,请以你的名字呼唤我 Call Me by Your Name,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,8.9,567050
No.98,红辣椒 パプリカ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,9.0,354849
No.99,7号房的礼物 7번방의 선물,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,8.9,452343
No.100,断背山 Brokeback Mountain,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg,8.8,605863
No.101,天使爱美丽 Le fabuleux destin d'Amélie Poulain,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,8.7,855123
No.102,幽灵公主 もののけ姫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,8.9,446432
No.103,功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,8.7,855216
No.104,超脱 Detachment,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,8.9,417353
